repo,path,sha256,size_bytes,lines,language,category,role,inventory_scope,origin,executable_mode,shebang,static_flags,measurement_status
.,.agents/skills/yss-ddd-scaffold-generator/scripts/scaffold-generator.test.mjs,a1513759c283e34d1a871cd484052c0cbcafa938f2d03ddfcef2fe6c2476db73,31957,439,JS,skill-script,test,active,scripts,False,,"{""process_spawn"": true, ""tree_io"": true, ""network"": true, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-design-system/scripts/validate-frontmatter.mjs,483eb1aebd4a761748280cf1c87d078162a4d8760b518b3fceeaa297629d2d71,1465,36,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-design-system/scripts/validate-frontmatter.test.mjs,d34739075cc5d436ce671c1587189bdf2ddda1f419cfee0733ea2b6af222abfc,584,12,JS,skill-script,test,active,scripts,False,,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",static-only
.,.agents/skills/yss-frontend-scaffold-generator/scripts/generate_and_verify_scaffold.mjs,86dba7d7a1bd7e8e91272449d9f606efd6be514e7ee51272d72215005c74554a,665,10,JS,skill-script,wrapper,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-frontend-scaffold-generator/scripts/generate_scaffold.mjs,806eafcab0e42841cb07b2e1866471d09e861614e8b77f931ad89b5ee8de7c0e,6486,107,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-frontend-scaffold-generator/scripts/run_scaffold_verification.mjs,9711092452f5ba94c53e019b87703a86a624100637431564217414fa345e362c,3053,41,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-frontend-scaffold-generator/scripts/scaffold-generator.test.mjs,50176ffb0d1a4f5c936b0f7c621b25351fabbc97fa91d9cadc8d03c5d0fb3fcf,4011,37,JS,skill-script,test,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-layered-mvc-scaffold-generator/scripts/generate_and_verify_scaffold.mjs,5c2ab0bb26de6f23e000bd1f429f12e3e8c9128d604e0a4ab0da672283f560cc,3075,61,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-layered-mvc-scaffold-generator/scripts/generate_scaffold.mjs,dbecc9cd42f6e6a17a232021b2be22d023908e4d9fef3c6879137ce01f40f7eb,30184,318,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": true, ""network"": true, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-layered-mvc-scaffold-generator/scripts/run_scaffold_verification.mjs,9fcf1de96936c47c693bdd9da2b181504358cfb604a0646475779fec5eb584a3,1163,30,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",static-only
