label,trace,samples,median_ms,min_ms,max_ms,exit_codes,success,timeout,argv,cwd
cli-backend-init,False,1,185.936,185.936,185.936,1,False,False,"['node', 'bin/create-yss-harness-backend.js', 'init', '--target-dir', '/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend
trace-cli-backend-verify-bundle,True,1,183.794,183.794,183.794,0,True,False,"['node', 'scripts/verify-bundle.mjs']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend
trace-cli-backend-init,True,1,184.098,184.098,184.098,1,False,False,"['node', 'bin/create-yss-harness-backend.js', 'init', '--target-dir', '/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/trace-cli-backend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend
cli-frontend-verify-bundle,False,3,219.369,218.67,489.757,"0,0,0",True,False,"['node', 'scripts/verify-bundle.mjs']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend
cli-frontend-init,False,1,250.372,250.372,250.372,1,False,False,"['node', 'bin/create-yss-harness-frontend.js', 'init', '--target-dir', '/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend
trace-cli-frontend-verify-bundle,True,1,240.048,240.048,240.048,0,True,False,"['node', 'scripts/verify-bundle.mjs']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend
trace-cli-frontend-init,True,1,226.435,226.435,226.435,1,False,False,"['node', 'bin/create-yss-harness-frontend.js', 'init', '--target-dir', '/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/trace-cli-frontend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend
cli-backend-init-physical-path,False,1,137017.354,137017.354,137017.354,0,True,False,"['node', 'bin/create-yss-harness-backend.js', 'init', '--target-dir', '/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend
trace-cli-backend-init-physical-path,True,1,114571.039,114571.039,114571.039,0,True,False,"['node', 'bin/create-yss-harness-backend.js', 'init', '--target-dir', '/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/trace-cli-backend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend
cli-frontend-init-physical-path,False,1,102734.707,102734.707,102734.707,0,True,False,"['node', 'bin/create-yss-harness-frontend.js', 'init', '--target-dir', '/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend
trace-cli-frontend-init-physical-path,True,1,100843.315,100843.315,100843.315,0,True,False,"['node', 'bin/create-yss-harness-frontend.js', 'init', '--target-dir', '/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/trace-cli-frontend-instance', '--json']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-frontend
create-yss-spec-sync-template,False,1,3332.178,3332.178,3332.178,0,True,False,"['node', 'scripts/sync-template.js']",/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/create-yss-spec
trace-create-yss-spec-sync-template,True,1,3609.51,3609.51,3609.51,0,True,False,"['node', 'scripts/sync-template.js']",/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/create-yss-spec
create-yss-strategic-design-sync-template,False,1,664.444,664.444,664.444,0,True,False,"['node', 'scripts/sync-template.js']",/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/create-yss-strategic-design
trace-create-yss-strategic-design-sync-template,True,1,640.194,640.194,640.194,0,True,False,"['node', 'scripts/sync-template.js']",/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/create-yss-strategic-design
create-yss-harness-dev-sync-template,False,1,3101.782,3101.782,3101.782,0,True,False,"['node', 'scripts/sync-template.js']",/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/create-yss-harness-dev
trace-create-yss-harness-dev-sync-template,True,1,3559.14,3559.14,3559.14,0,True,False,"['node', 'scripts/sync-template.js']",/private/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/create-yss-harness-dev
