path,repo,sha256,inventory_scope,status,labels
.codex/skills/data-analytics/src/analytics-app/scripts/chart_contract.py,.,7d2f7cfdf3726bd5930970547c878d3809e455dffcadb57ac36a47637140fb86,projection,static-only,
.codex/skills/data-analytics/src/analytics-app/scripts/check_analytics_app_runtime_links.py,.,8ec146ec6940336a689b71f4b1384361fc7e1a38d8b751894209ec72de94c9f9,projection,static-only,
.codex/skills/data-analytics/src/analytics-app/scripts/design_contract.py,.,27d741a01ba993492f7d6301f1d4216cf5437385e996d683526417163aae8e91,projection,static-only,
.codex/skills/data-analytics/src/analytics-app/scripts/package_utils.py,.,f419da66e0eb28dad2a40213faa6c9d09287c77708ea67bce940678ae34bb1e1,projection,static-only,
.codex/skills/data-analytics/src/analytics-app/scripts/tests/test_package_utils.py,.,68c42136a7c61e81f11644b5fb8d421b68524642f4ed50811b18bd915fdbd7b6,projection,static-only,
.codex/skills/product-design/scripts/bootstrap-prototype.mjs,.,768e8f271c68e1b065ccc3ba614b5cca024a2ab0e7bf626e5de647d37e1b1442,projection,static-only,
.codex/skills/product-design/skills/research/scripts/validate-research-package.mjs,.,ac619a16ecad1752e93cecc2d15ba51d97423123fe52888ad6a865b500041e9d,projection,static-only,
.codex/skills/product-design/skills/user-context/scripts/init_user_context.py,.,102ad6d6535840c7d5d06a166e20c50c56a803c37a00c6ff58083fb18950e481,projection,static-only,
.codex/skills/product-design/skills/user-context/scripts/user_context_preflight.py,.,3195ea2f41f5db4a4fa1a6b18f911137ffbabf6e3176a49de489f2d33da87bc4,projection,static-only,
.codex/skills/yss-cache/scripts/check-skill-freshness.sh,.,63618779f60200a278e35dff67fe0a8def5e73cb9762c8967d1d80e54171f3b7,projection,static-only,
.codex/skills/yss-cache/scripts/inspect-cache-usage.sh,.,ac2455fa637ef7364e3a3f89f450b1db8284d1e40ef85188e83a5a45e81b9aba,projection,static-only,
.codex/skills/yss-cache/scripts/verify-cache-component.sh,.,99b27996511454eee5ffc447a2a50f078fba75516d1c46ee0a6b194b81d5aff8,projection,static-only,
.codex/skills/yss-ddd-scaffold-generator/scripts/first-slice-compatibility.test.mjs,.,ece0dec84d8d75789eaa88a3bfe548d98770482c4c91aff9f856c662e2736f6b,projection,static-only,
.codex/skills/yss-ddd-scaffold-generator/scripts/first-slice-verification.test.mjs,.,ed3ddc4cc182314ef8ae30cae054165d7ee0ab5c9f37d3054eb5c2034fd4ce1b,projection,static-only,
.codex/skills/yss-ddd-scaffold-generator/scripts/generate_and_verify_scaffold.mjs,.,facb6e4cffc7c62e5d711aa6035a5e9086efee0f54f0dc2bd29ef15b63a742ac,projection,static-only,
.codex/skills/yss-ddd-scaffold-generator/scripts/generate_scaffold.mjs,.,d9c0d687dd00194476eba96db6d2ec8b35339f612242f0e99a49a68cd775b856,projection,static-only,
.codex/skills/yss-ddd-scaffold-generator/scripts/run_first_slice_verification.mjs,.,a92466818515979ae0ff82b5c2a6a89e2197a113f5307b80bc2e352bf112ad75,projection,static-only,
.codex/skills/yss-ddd-scaffold-generator/scripts/run_scaffold_verification.mjs,.,449b3786b9c261d08e98dd4685dffec826215c1a004804652887ebe62050de6c,projection,static-only,
.codex/skills/yss-ddd-scaffold-generator/scripts/scaffold-generator.test.mjs,.,a1513759c283e34d1a871cd484052c0cbcafa938f2d03ddfcef2fe6c2476db73,projection,static-only,
.codex/skills/yss-design-system/scripts/validate-frontmatter.mjs,.,483eb1aebd4a761748280cf1c87d078162a4d8760b518b3fceeaa297629d2d71,projection,static-only,
.codex/skills/yss-design-system/scripts/validate-frontmatter.test.mjs,.,d34739075cc5d436ce671c1587189bdf2ddda1f419cfee0733ea2b6af222abfc,projection,static-only,
.codex/skills/yss-frontend-scaffold-generator/scripts/generate_and_verify_scaffold.mjs,.,86dba7d7a1bd7e8e91272449d9f606efd6be514e7ee51272d72215005c74554a,projection,static-only,
.codex/skills/yss-frontend-scaffold-generator/scripts/generate_scaffold.mjs,.,806eafcab0e42841cb07b2e1866471d09e861614e8b77f931ad89b5ee8de7c0e,projection,static-only,
.codex/skills/yss-frontend-scaffold-generator/scripts/run_scaffold_verification.mjs,.,9711092452f5ba94c53e019b87703a86a624100637431564217414fa345e362c,projection,static-only,
.codex/skills/yss-frontend-scaffold-generator/scripts/scaffold-generator.test.mjs,.,50176ffb0d1a4f5c936b0f7c621b25351fabbc97fa91d9cadc8d03c5d0fb3fcf,projection,static-only,
.codex/skills/yss-web-controller/scripts/generate_controller.mjs,.,fc2af1b08b947c0d383a424e13fba455280dc746a97a61837890f485a14e4034,projection,static-only,
.codex/skills/yss-web-controller/scripts/generate_controller.test.mjs,.,3e63fdb95276a81916110766aca34945b7ff75d63d78b0350c2b9bb25aa5a0b1,projection,static-only,
.pi/skills/yss-cache/scripts/check-skill-freshness.sh,.,63618779f60200a278e35dff67fe0a8def5e73cb9762c8967d1d80e54171f3b7,projection,static-only,
.pi/skills/yss-cache/scripts/inspect-cache-usage.sh,.,ac2455fa637ef7364e3a3f89f450b1db8284d1e40ef85188e83a5a45e81b9aba,projection,static-only,
.pi/skills/yss-cache/scripts/verify-cache-component.sh,.,99b27996511454eee5ffc447a2a50f078fba75516d1c46ee0a6b194b81d5aff8,projection,static-only,
.qoder/skills/diagnosing-bugs/scripts/hitl-loop.template.sh,.,18ae07e1cc49b32c71767e241a6e8de4be74ef21d5e3b7e39034d9c7335f2d80,projection,static-only,
.template-source/evidence/maintenance/reviews/candidates/095a11fee3126d5993befa096cce4ab7f0536cd0d39a6147c1b91f7a6fc03aed/untracked/scripts/lib/maintenance-review.mjs,.,74c5be34f9a1266dd6b1b7e092e43b1eaf077462d038638b71d8806d93c36918,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/095a11fee3126d5993befa096cce4ab7f0536cd0d39a6147c1b91f7a6fc03aed/untracked/scripts/lib/task-package-schema.mjs,.,18fe4d9e060a1b1e977437bf8a56d9046224dd0a051011cfdab44ca93ba39c60,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/095a11fee3126d5993befa096cce4ab7f0536cd0d39a6147c1b91f7a6fc03aed/untracked/scripts/verify-maintenance-review-record,.,1d5844bf221d604d08836b67945864f165e635c491461b74443c4b251c9b4704,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/79dd1fa6f7086b6844ba5b0ab7e2f5ebcb21bd044d7ae5442213f650bd4901be/untracked/scripts/lib/maintenance-review.mjs,.,9cdc0ece65946ee9bc7d743bec6cf06a858523fd7df1b631b4a9edc6ca0e8ebe,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/79dd1fa6f7086b6844ba5b0ab7e2f5ebcb21bd044d7ae5442213f650bd4901be/untracked/scripts/verify-maintenance-review-record,.,1d5844bf221d604d08836b67945864f165e635c491461b74443c4b251c9b4704,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/7f77c733a457bc6b1873f50e6487e3242dabcc5f8bfe81ec86b2c23cc66a1806/untracked/scripts/lib/maintenance-review.mjs,.,9cdc0ece65946ee9bc7d743bec6cf06a858523fd7df1b631b4a9edc6ca0e8ebe,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/7f77c733a457bc6b1873f50e6487e3242dabcc5f8bfe81ec86b2c23cc66a1806/untracked/scripts/verify-maintenance-review-record,.,1d5844bf221d604d08836b67945864f165e635c491461b74443c4b251c9b4704,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/c8629008708be5ad5439a4e7a46e21464d2ba114dedf14160c0842673496b073/untracked/scripts/lib/maintenance-review.mjs,.,0096cee6ac16f2e7d32537ed020d0f003a4d22d08f1a36789ca3df0d7d858d15,historical,static-only,
.template-source/evidence/maintenance/reviews/candidates/c8629008708be5ad5439a4e7a46e21464d2ba114dedf14160c0842673496b073/untracked/scripts/verify-maintenance-review-record,.,1d5844bf221d604d08836b67945864f165e635c491461b74443c4b251c9b4704,historical,static-only,
.template-source/scripts/evidence-index,.,9a2b138d20dbfee43ef6743bffdf1af129f1d3eb0d00091eff0c2d6c667fa40e,active,static-only,
.template-source/scripts/verify-cli-upgrade.mjs,.,e1c5bcc4075048dcecb6aa2e4c29c30b69ba9799cac712ab03de4d599a133a5a,active,static-only,
.template-source/scripts/verify-delivery-harness-distribution.mjs,.,98143e45423ff491682b143fd9bc6a749be0ed97ff300936963a286435d0c313,active,static-only,
.template-source/scripts/verify-strategic-handoff-distribution.mjs,.,b33b15823775b0741d68ca9125d410257a38a68556eeca219983fe5f7bc0ec45,active,static-only,
.template-source/tooling/node/scripts/build-vendor.mjs,.,8d084a1c00f7042d8092096b27fe9f19aaf11f0d17e0dab386ba4841d9b31d19,active,static-only,
.template-source/tooling/node/scripts/design-md.mjs,.,a1391e0c01d6eb41cd7855e5da403ff7ccbfd0b70e7638b662ece2fbd0f74d54,active,static-only,
.trae/skills/yss-cache/scripts/check-skill-freshness.sh,.,63618779f60200a278e35dff67fe0a8def5e73cb9762c8967d1d80e54171f3b7,projection,static-only,
.trae/skills/yss-cache/scripts/inspect-cache-usage.sh,.,ac2455fa637ef7364e3a3f89f450b1db8284d1e40ef85188e83a5a45e81b9aba,projection,static-only,
.trae/skills/yss-cache/scripts/verify-cache-component.sh,.,99b27996511454eee5ffc447a2a50f078fba75516d1c46ee0a6b194b81d5aff8,projection,static-only,
scripts/audit-yss-backend-skills,.,9c07cd5ccd9db11e71999710193fdd8c284b57cabf076e85a5b7d466bdc24d51,active,static-only,
scripts/backend-delivery,.,6a3f6465a5b65c630aa5041d5f6d28e70015b2ce27ae29499971077bcb3236ae,active,static-only,
scripts/cache-template-commit,.,bee5286c0c0155c6962018e16f7f13e5e0317226a88bf263449bb38ae2b872c7,active,static-only,
scripts/capture-maintenance-candidate,.,822cf193aa3ca9af02864958d5fe8e0dffde1ae055c81b353544a50ea814bc73,active,static-only,
scripts/evaluate-maintenance-review-round,.,bd6b24f31297b01d162a75fc849b38071fe5f78d896cac5fd99c07d755741160,active,static-only,
scripts/export-yss-skills,.,2a0ed7e29d31a463826e0ee4d93d9fb27d34cc7ae60259d8de72a350fb80d820,active,static-only,
scripts/fixtures/backend-delivery/revision-server.mjs,.,fa2d49c47b833e824ab9e015ec51f41276efa768b5f8149597c7b6b57c77f022,active,static-only,
scripts/fixtures/maintenance-review/maintenance-focused-review-approved.md,.,ce6249f7037c3c7842ce89ed694ded9a70efc45f96aea96d8e1bd3e9948ca0ab,active,static-only,
scripts/fixtures/maintenance-review/maintenance-formal-review-negative.md,.,d9a77bbb12b66971ea14b4803a6a948c3498b32eac446db184f78943e2ea6349,active,static-only,
scripts/fixtures/maintenance-review/maintenance-review-request-only.md,.,813c789b2fc36ba906dff9418a724f3fa10de832641ac15df2165730f9143139,active,static-only,
